2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 15): 8192, 'Function split() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 16): 8192, 'Function ereg_replace() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 17): 8192, 'Function split() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/index.php, 28): 8, 'Use of undefined constant PAGE_PARSE_START_TIME - assumed 'PAGE_PARSE_START_TIME''
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 15): 8192, 'Function split() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 16): 8192, 'Function ereg_replace() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 17): 8192, 'Function split() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 15): 8192, 'Function split() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 16): 8192, 'Function ereg_replace() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 17): 8192, 'Function split() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 15): 8192, 'Function split() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 16): 8192, 'Function ereg_replace() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 17): 8192, 'Function split() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 15): 8192, 'Function split() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 16): 8192, 'Function ereg_replace() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 17): 8192, 'Function split() is deprecated'
2013-07-27T18:57:11+02:00 Unhandled Error (/var/www/beer/fnc/session.fnc.php, 15): 8192, 'Function split() is deprecated'
